Cisco Product Name,Brief Description,Category,Part of Secure Networking GTM Strategy?,Cisco or Splunk Integration (Yes/No),Status/Notes,Former Names / Notes on Former Names,Official Cisco Product Page URL
Cisco Identity Intelligence (CII),Identity analytics and intelligence,Security,Yes,Yes,Included in Cisco Secure Access App,None,https://www.cisco.com/site/us/en/products/security/duo/index.html
Cisco Identity Services Engine (ISE),Network access control and policy enforcement,Security,Yes,Yes,"Live, supported by multiple TAs including Catalyst Add-on and Cisco ISE Add-on",Cisco Identity Services Engine (ISE),https://www.cisco.com/c/en/us/products/security/identity-services-engine/index.html
Cisco Industrial Ethernet (IE) Switches,Ruggedized switches for industrial and IoT environments,Networking/Industrial,Yes,Validate,Identified critical gap; high-fidelity TAs needed,Cisco Industrial Ethernet Switches,https://www.cisco.com/c/en/us/products/switches/industrial-ethernet-switches/index.html
Cisco Industrial Routers (IR),Ruggedized routers for industrial and IoT environments,Networking/Industrial,Yes,Validate,Identified critical gap; high-fidelity TAs needed,Cisco Industrial Routers,https://www.cisco.com/c/en/us/products/routers/industrial-routers/index.html
Cisco Integrated Services Routers (ISR),Branch routers,Networking,No,Yes,Supported by App for Cisco Network Data; legacy deprecated add-on exists,Cisco Integrated Services Routers (ISR),https://www.cisco.com/site/us/en/products/networking/sdwan-routers/1000-series-integrated-services-routers-isr/index.html
Cisco Intersight (Intersight),Cloud operations platform for infrastructure management,IT Operations/Observability,No,Yes,"Live, supported by Intersight Add-on and App",None,https://www.cisco.com/c/en/us/products/cloud-systems-management/intersight/index.html
Cisco Isovalent (Isovalent),"Acquired technology, not a standalone product",Security,Yes,Yes,"Isovalent is an acquired technology, not a standalone product",None,https://isovalent.com
Cisco Isovalent Edge Processor (IEP),Component of Hypershield architecture,Security,Yes,Yes,Not a standalone product; part of Hypershield architecture,None,https://isovalent.com
Cisco Meeting Server (CMS),Video conferencing server,Collaboration,No,No,Developer Supported Add-ons exist,None,https://www.cisco.com/c/en/us/products/conferencing/meeting-server/index.html
Cisco Meraki (Meraki),"Cloud-managed IT solutions including wireless, switching, and security",Networking,Yes,Yes,"Live, supported by Meraki Add-on",None,https://meraki.cisco.com/
Cisco Multicloud Defense (MCD),Multicloud security platform,Security,Yes,Yes,"Live, included in Cisco Secure Access App",None,https://www.cisco.com/c/en/us/products/security/multicloud-defense/index.html
Cisco Network Assurance Engine,Network verification and assurance,Networking,No,No,Archived add-ons exist,None,https://www.cisco.com/c/en/us/products/networking/network-assurance-engine/index.html
Cisco Network Convergence System (NCS),"High-capacity modular routers for Service Providers and large-scale Data Centers, running IOS-XR with high-volume telemetry (Model-Driven Telemetry)",Service Provider Networking,No,Validate,"Critical for WAN aggregation, core routing, and 5G backhaul visibility",Cisco Network Convergence System,https://www.cisco.com/c/en/us/products/routers/network-convergence-system-ncs/index.html
Cisco Network Visibility Module (NVM),Network traffic visibility and analytics,Security,Yes,Yes,"Live, included in Cisco Secure Access App",None,https://www.cisco.com/site/us/en/products/security/secure-client/index.html
Cisco Nexus Dashboard (ND),"Unified automation and operations platform designed to provision, manage, and operate data center networks from a single interface. It integrates multiple services to simplify network configuration, operation, and analysis across Cisco Nexus 9000 Series switches, Cisco ACI fabrics, and Cisco Nexus Dashboard itself. The platform is available in physical, virtual, and cloud form factors and provides centralized management, automation, and analytics capabilities for data center networks. Cisco Nexus Dashboard is included with Cisco Nexus 9000 Series switch tiered licensing and serves as a single focal point for managing disparate network configurations and views across multiple switches and data centers. It supports a broad range of operational services such as Nexus Dashboard Orchestrator, Nexus Dashboard Insights, and Nexus Dashboard Fabric Controller (NDFC), and offers extensibility for third-party applications and tools integration",Validate,Validate,Validate,Validate,Validate,https://www.cisco.com/site/us/en/products/networking/cloud-networking/nexus-platform/index.html
Cisco Nexus HyperFabric,Cloud-managed fabric-as-a-service simplifying AI infrastructure deployment with controller-led leaf-spine fabric automation,AI Data Center Networking,Yes,Validate,AI Factory telemetry for monitoring AI cluster performance including GPU and network metrics,None,https://www.cisco.com/c/en/us/support/data-center-networking/nexus-hyperfabric/series.html
Cisco Nexus HyperFabric AI,"Pre-validated AI cluster solution combining Nexus 6000 series switches, NVIDIA GPUs, and AI-native storage",AI Data Center Networking,Yes,Validate,Supports AI workload monitoring and operational insights,None,https://www.cisco.com/c/en/us/products/switches/nexus-hyperfabric-ai/index.html
Cisco Nexus Switches (NEX),Data center and enterprise-class switches,Networking,Yes,Yes,"Live, supported by Cisco DC Networking App and Nexus Add-ons",Cisco Nexus Switches,https://www.cisco.com/c/en/us/products/switches/nexus-9000-series-switches/index.html
Cisco openVuln API Query,Vulnerability API,Security,No,No,Archived add-ons exist,None,https://www.cisco.com/c/en/us/products/security/openvuln-api-query/index.html
Cisco Optics / CMIS Intelligence,Environmental and performance monitoring for AI data centers,Security / Networking,Yes,Validate,Critical for predictive failure analysis in AI workloads,None,https://www.cisco.com/c/en/us/products/optical-networking/optics/index.html
Cisco Prime Infrastructure (Cisco Prime),Network management platform,Networking,No,No,Archived add-ons exist,None,https://www.cisco.com/c/en/us/products/cloud-systems-management/prime-infrastructure/index.html
Cisco Product Security Incident Response Team (PSIRT),Security incident response team,Security,No,No,Archived add-ons exist,None,https://www.cisco.com/c/en/us/products/security/product-security-incident-response-team/index.html
Cisco Provider Connectivity Assurance (PCA),Network performance monitoring with microsecond precision using micro-sensors for active assurance and SLA monitoring,Service Provider Analytics,No,Validate,Provides micro-burst and latency spike detection for proactive network health management,None,https://www.cisco.com/c/en/us/products/service-provider/assurance/index.html
Cisco pxGrid,Platform Exchange Grid for identity context sharing,Strategic Platform & Ingestion Tools,Yes,Validate,"Live, critical for identity context exchange",Cisco pxGrid (Platform Exchange Grid),https://www.cisco.com/c/en/us/products/security/pxgrid/index.html
Cisco Secure Access (SSE),Secure service edge platform,Security,Yes,Yes,"Live, included in Cisco Secure Access App",None,https://www.cisco.com/c/en/us/products/security/secure-access/index.html
Cisco Secure Access Control Server (Cisco ACS),Network access control server,Security,No,No,Archived add-on exists,Cisco Secure Access Control Server (ACS),https://www.cisco.com/c/en/us/products/security/secure-access-control-server/index.html
Cisco Secure Email Gateway,"Cisco Email Security Appliance (ESA) is now called ""Cisco Secure Email Gateway."" Cisco has rebranded the Email Security Appliance (ESA) under the Cisco Secure portfolio, and the product is referred to as Cisco Secure Email Gateway. This is confirmed in Cisco's recent advisories and product documentation, where the term ""Cisco Secure Email Gateway (formerly Email Security Appliance-ESA)"" is used. The Secure Email Gateway includes advanced threat protection capabilities and is available in physical, virtual, and cloud deployment models. The rebranding aligns with Cisco's broader strategy to unify security products under the ""Cisco Secure"" brand name",Security,Yes,Yes,"Live, supported by Splunk Add-on for Cisco ESA. Officially rebranded as Cisco Secure Email Gateway",Cisco Email Security Appliance (ESA),https://www.cisco.com/c/en/us/products/security/email-security/index.html
Cisco Secure Endpoint (CSE/AMP),Endpoint protection platform,Security,Yes,Yes,"Live, supported by Secure Endpoint Add-on",Cisco AMP for Endpoints,https://www.cisco.com/c/en/us/products/security/firewalls/index.html
Cisco Secure Equipment Access (SEA),Specialized OT-SASE solution for unified IT/OT threat visibility,Security/OT,Yes,Validate,Critical OT gap; unifies IT and OT threat views,None,https://www.cisco.com/c/en/us/products/security/secure-equipment-access/index.html
Cisco Secure Firewall (FTD/eStreamer/ASA),Next-gen firewall with advanced threat protection,Security,Yes,Yes,"Live, supported by multiple apps including Firepower and ASA Add-ons; some archived. ""Firepower"" brand retired; replaced by Cisco Secure Firewall","Cisco Firepower Next-Generation Firewall, Cisco Secure Firewall (ASA), Cisco Firepower Threat Defense (FTD)",https://www.cisco.com/c/en/us/products/security/threat-grid/index.html
Cisco Secure Intrusion Prevention System (Cisco Secure IPS),Intrusion prevention system,Security,No,No,Archived add-on exists,Cisco Secure Intrusion Prevention System (IPS),https://www.cisco.com/c/en/us/products/security/secure-intrusion-prevention-system/index.html
Cisco Secure Malware Analytics (SMA),Malware analysis and sandboxing,Security,Yes,Yes,"Live, included in Cisco Secure Access App",None,https://www.cisco.com/c/en/us/products/security/stealthwatch/index.html
Cisco Secure Network Analytics (SNA),Network traffic analysis and threat detection,Security,Yes,Yes,"Live, included in Cisco Secure Access App",Cisco Stealthwatch,https://www.cisco.com/site/us/en/products/security/secure-workload/index.html
Cisco Secure Workload (CSW),Workload protection platform,Security,Yes,Yes,"Live, included in Cisco Secure Access App",Cisco Tetration,https://talosintelligence.com/
Cisco SecureX,Security platform integration,Security,No,No,Archived add-ons exist,None,https://www.cisco.com/c/en/us/products/security/securex/index.html
Cisco Spaces,Workspace utilization and occupancy analytics via Wi-Fi and BLE data,Collaboration/Workspace,Yes,Validate,Collaboration sensor network component,None,https://www.cisco.com/c/en/us/products/collaboration-endpoints/spaces/index.html
Cisco Talos (Talos),Threat intelligence and research group,Security,Yes,Yes,"Live, supported by Talos Intelligence App",None,https://www.cisco.com/site/us/en/products/networking/software/internet-cloud-intelligence/index.html
Cisco ThousandEyes (TE),Network intelligence and digital experience monitoring,Observability,Yes,Yes,"Live, supported by ThousandEyes Add-on and App",None,https://umbrella.cisco.com/
Cisco Threat Grid,Threat intelligence platform,Security,No,No,Archived add-ons exist,None,https://www.cisco.com/c/en/us/products/security/threat-grid/index.html
Cisco Umbrella,Cloud-delivered security platform,Security,Yes,Yes,"Live, supported by Umbrella Add-ons",None,https://www.webex.com/us/en/products/suite/enterprise-cloud-calling/CUCM.html
Cisco Umbrella Investigate,Threat investigation platform,Security,Validate,Validate,Validation needed,None,https://www.cisco.com/c/en/us/products/security/umbrella-investigate/index.html
Cisco Unified Communications Manager (CUCM),Call control and session management,Collaboration,No,No,Developer & Archived Supported Add-ons exist,Cisco Unified Communications Manager (CallManager),https://www.cisco.com/c/en/us/products/servers-unified-computing/index.html
Cisco Unified Computing System (UCS),Data center server and management platform,Data Center,No,Yes,"Live, supported by UCS Manager Add-on",None,https://www.cisco.com/c/en/us/products/collateral/security/vulnerability-management/vulnerability-intelligence-aag.html
Cisco Vulnerability Intelligence (CVI),Vulnerability intelligence and management,Security,Validate,Validate,"CVI is in End-of-Sale transition, ending March 10, 2026",None,https://www.cisco.com/c/en/us/products/security/web-security-appliance/index.html
Cisco Web Security Appliance (WSA),Web security gateway,Security,No,Yes,"Live, supported by WSA Add-on",None,https://www.webex.com/
Cisco Webex (Webex),Collaboration and video conferencing platform,Collaboration,No,No,Developer & Archived Supported Add-ons exist,None,https://www.cisco.com/c/en/us/products/wireless/wireless-lan-controller/index.html
Cisco Wireless LAN Controller (WLC),Wireless LAN controller,Networking,Yes,Yes,Supported by App for Cisco Network Data; legacy deprecated add-on exists,Cisco Wireless LAN Controller,https://www.cisco.com/c/en/us/products/wireless/wireless-lan-controller/index.html
Collaboration Hardware (Deskpro/Board),Environmental sensors and endpoint metrics for workspace experience,Collaboration/Workspace,Yes,Validate,Supports environmental data ingestion and ThousandEyes endpoint metrics,None,https://www.cisco.com/c/en/us/products/collaboration-endpoints/deskpro/index.html
Isovalent Runtime Security,eBPF-based runtime security and enforcement technology for Kubernetes workloads and Linux VMs,eBPF-based Runtime Security & Enforcement,Validate,Yes,"Component technology integrated into Cisco Hypershield and Secure AI Factory architectures, not a standalone product",None,https://www.cisco.com/c/en/us/products/security/isovalent-runtime-security/index.html
NetFlow / IPFIX (Foundational Signal),Granular traffic flow visibility and network behavior analytics,Foundational Signal,Yes,Validate,Elevated to first-class signal; baked into Static Base Layer,None,https://www.cisco.com/c/en/us/products/security/netflow-ipfix/index.html
Panoptica / Calisti,Cloud-native application protection for Kubernetes and service mesh telemetry,Security/Cloud Native,Yes,Validate,Planned future integration for cloud-native security telemetry,None,https://www.cisco.com/c/en/us/products/security/panoptica/index.html
